Wall time,Step,Value
1549739082.506668,932526,63.0
1549739086.658481,933512,35.0
1549739088.5407622,933957,43.0
1549739090.309441,934376,64.0
1549739093.4571362,935128,42.0
1549739098.2093718,936249,48.0
1549739099.467446,936549,45.0
1549739103.651424,937543,53.0
1549739107.865243,938555,72.0
1549739120.411299,941536,33.0
1549739122.256147,941977,38.0
1549739132.41376,944398,78.0
1549739139.149748,945997,50.0
1549739139.942076,946187,54.0
1549739147.940237,948096,63.0
1549739152.8989298,949277,28.0
1549739166.7723489,952585,59.0
1549739184.734219,956852,51.0
1549739185.725203,957088,39.0
1549739186.318601,957230,61.0
1549739189.6170108,958014,20.0
1549739191.6612391,958500,41.0
1549739196.283411,959600,59.0
1549739197.4681349,959883,32.0
1549739200.405568,960579,54.0
1549739201.619313,960869,65.0
1549739203.3869429,961281,49.0
1549739207.826371,962338,44.0
1549739210.824298,963047,42.0
1549739215.7996428,964233,66.0
1549739222.239893,965751,40.0
1549739224.6107142,966315,20.0
1549739228.73632,967300,72.0
1549739229.978059,967595,61.0
1549739231.1269498,967869,59.0
1549739247.564178,971781,57.0
1549739253.085185,973089,16.0
1549739253.656457,973224,45.0
1549739256.7080598,973951,42.0
1549739257.968056,974253,78.0
1549739259.108167,974524,103.0
1549739264.6703181,975830,42.0
1549739267.4343889,976491,49.0
1549739269.7831502,977050,51.0
1549739271.518371,977464,43.0
1549739272.214963,977630,57.0
1549739272.353178,977663,33.0
1549739277.557421,978901,58.0
1549739279.811074,979436,63.0
1549739283.828205,980390,41.0
1549739283.999413,980431,41.0
1549739285.9170702,980884,39.0
1549739291.9884212,982329,79.0
1549739294.2577019,982868,62.0
1549739298.885561,983975,63.0
1549739299.893127,984215,35.0
1549739301.535597,984607,50.0
1549739303.486681,985074,67.0
1549739305.159114,985447,69.0
1549739309.008019,986366,65.0
1549739320.2005289,989052,64.0
1549739322.492925,989602,26.0
1549739330.91656,991608,42.0
1549739332.9627452,992098,54.0
1549739333.245892,992163,65.0
1549739338.135079,993289,34.0
1549739339.779922,993679,31.0
1549739346.730569,995344,55.0
1549739348.787982,995828,59.0
1549739349.957113,996107,81.0
1549739352.683499,996761,48.0
1549739354.407309,997167,48.0
1549739357.199297,997833,17.0
1549739364.289983,999520,26.0
1549739364.938287,999673,66.0
1549739372.8870022,1001574,64.0
1549739373.54894,1001726,40.0
1549739378.198422,1002827,25.0
1549739379.565749,1003154,77.0
1549739380.2191281,1003310,77.0
1549739386.720594,1004854,49.0
1549739388.0088372,1005161,79.0
1549739389.2751832,1005462,65.0
1549739389.716921,1005568,62.0
1549739391.711909,1006037,53.0
1549739392.727983,1006275,61.0
1549739395.50298,1006932,54.0
1549739397.162909,1007328,54.0
1549739400.562027,1008135,51.0
1549739405.787631,1009382,55.0
1549739409.546286,1010277,54.0
1549739411.252705,1010681,27.0
1549739414.556193,1011459,52.0
1549739419.657762,1012672,43.0
1549739424.444181,1013811,48.0
1549739424.7380748,1013880,35.0
1549739424.877692,1013913,33.0
1549739436.757925,1016737,17.0
1549739437.200661,1016842,36.0
1549739439.362444,1017359,66.0
1549739446.773303,1019117,64.0
1549739453.080538,1020617,37.0
1549739458.193812,1021834,34.0
1549739462.879633,1022955,58.0
1549739469.5156102,1024536,55.0
1549739470.995344,1024884,32.0
1549739478.364356,1026635,28.0
1549739482.08071,1027513,36.0
1549739486.409405,1028544,65.0
1549739492.1913128,1029918,128.0
1549739492.9905028,1030110,71.0
1549739494.5748339,1030485,61.0
1549739495.00301,1030587,53.0
1549739498.581554,1031440,68.0
1549739499.853748,1031742,45.0
1549739501.5212932,1032137,64.0
1549739504.394638,1032801,31.0
1549739507.3670778,1033499,41.0
1549739518.16736,1036083,23.0
1549739520.745035,1036698,54.0
1549739521.151913,1036794,45.0
1549739522.8039749,1037188,43.0
1549739525.344116,1037786,44.0
1549739527.9693,1038410,57.0
1549739528.4808068,1038531,55.0
1549739531.943925,1039359,67.0
1549739535.5999181,1040224,46.0
1549739541.476105,1041621,50.0
1549739546.815205,1042888,58.0
1549739547.703081,1043099,11.0
1549739549.334162,1043486,51.0
1549739554.768584,1044774,45.0
1549739559.2316859,1045827,31.0
1549739559.4083278,1045869,42.0
1549739562.819586,1046680,50.0
1549739568.5676858,1048032,55.0
1549739569.458464,1048239,36.0
1549739575.960994,1049667,40.0
1549739578.288689,1050220,44.0
1549739578.677464,1050313,41.0
1549739578.899492,1050366,53.0
1549739583.128949,1051367,26.0
1549739583.94803,1051560,47.0
1549739586.178062,1052090,49.0
1549739588.094984,1052547,51.0
1549739588.874558,1052730,16.0
1549739589.9829419,1052993,53.0
1549739593.465442,1053816,19.0
1549739595.481631,1054295,19.0
1549739602.6252239,1055989,29.0
1549739617.104519,1059434,36.0
1549739619.891196,1060094,50.0
1549739621.816381,1060543,49.0
1549739622.5564978,1060714,30.0
1549739625.331321,1061365,39.0
1549739631.2465122,1062767,69.0
1549739632.475928,1063057,35.0
1549739643.629722,1065723,268.0
1549739648.113806,1066794,45.0
1549739648.9910789,1067000,43.0
1549739652.1598878,1067755,26.0
1549739655.750463,1068598,68.0
